FIPS,FI Rate,Low Threshold Type,High Threshold Type,Cost Per Meal,Year,Rent
8021,0.113,,,4.12,2021,
8021,0.147,,,4.54,2022,
8021,0.155,,,4.11,2023,
8023,0.152,,,4.16,2021,
8023,0.195,,,4.59,2022,
8023,0.194,,,4.11,2023,
8025,0.161,,,3.6,2021,
8025,0.187,,,3.99,2022,
8025,0.173,,,3.56,2023,
8027,0.083,,,3.6,2021,
8027,0.107,,,4.0,2022,
8027,0.12,,,3.61,2023,
8029,0.132,,,3.62,2021,
8029,0.151,,,4.05,2022,
8029,0.156,,,3.66,2023,
8031,0.105,,,4.26,2021,
8031,0.125,,,4.65,2022,
8031,0.137,,,4.09,2023,
8033,0.092,,,3.69,2021,
8033,0.129,,,4.1,2022,
8033,0.138,,,3.72,2023,
8035,0.056,,,4.27,2021,
8035,0.076,,,4.7,2022,
8035,0.084,,,4.2,2023,
8037,0.074,,,4.53,2021,
8037,0.099,,,4.98,2022,
8037,0.109,,,4.48,2023,
8039,0.051,,,3.89,2021,
8039,0.072,,,4.27,2022,
8039,0.082,,,3.83,2023,
8041,0.096,,,3.85,2021,
8041,0.115,,,4.26,2022,
8041,0.124,,,3.78,2023,
8043,0.126,,,3.6,2021,
8043,0.153,,,4.0,2022,
8043,0.158,,,3.61,2023,
8045,0.078,,,3.79,2021,
8045,0.106,,,4.27,2022,
8045,0.116,,,3.95,2023,
8047,0.086,,,4.13,2021,
8047,0.109,,,4.56,2022,
8047,0.121,,,4.08,2023,
