RegionID,SizeRank,RegionName,RegionType,StateName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
394486,72,"Columbia, SC",msa,SC,141195.22333740795,139840.6557617029,134671.20139940493,130264.78354175377,129031.1314497767,131619.7919105407,133210.02063760502,139383.98340339563,145309.73438570756,151681.73386106608,159200.74793596801,169586.88460566857,192672.07472953456,225088.13867112345,237104.3269729059,245826.2258938813
753906,73,"North Port, FL",msa,FL,181822.1905861758,169977.22612910788,159049.84006329908,161633.39501855752,181714.58547893548,202781.31495238666,221871.97577369737,242958.66680650922,255897.99697212552,265901.9086442042,272688.4931853128,284945.11663094355,340978.74540104676,448922.4768933654,461658.2274404837,450734.3707197259
394457,75,"Charleston, SC",msa,SC,199642.7776318004,189704.75678206258,174430.2484856331,175031.977856579,188201.49005506278,202308.41507829365,217174.55192399016,233904.4498970851,247885.62099231637,262095.978160291,270447.0278582946,282596.5138212199,325738.189687595,389140.2971744502,408042.3481502182,429534.2497893849
394648,76,"Greensboro, NC",msa,NC,130268.4188889552,125229.0465734966,119971.56161874847,118550.1526195351,121342.29137135138,125286.33132862816,128719.48453467217,134300.02985819118,141507.9418550698,150927.35347615796,162379.08608935692,175810.83699603332,202503.1433487069,230316.33856999254,242032.23339795406,253081.0455005941
395134,77,"Stockton, CA",msa,CA,178767.72841912517,178628.56816983607,166576.016717041,165369.3675883731,203537.58471035364,252473.09010520473,277820.9214385832,307401.6056563533,338219.1302044039,370673.84569402086,387042.22427931754,406889.9928708217,485067.68483573664,549348.0914267102,526838.8768854989,541759.0514045452
394440,78,"Cape Coral, FL",msa,FL,152032.80614964265,134136.2123806334,129380.68854416815,136255.78691116426,155132.60777039672,172889.69588375557,191465.60214515112,213409.40615392374,223961.85916732097,230742.6553479612,234795.4211217592,243094.75972271743,291916.98816807446,385453.24040471297,397066.6839711466,386739.89944795636
394399,79,"Boise City, ID",msa,ID,173808.75902530685,154810.95575647123,136473.56715770534,143076.00189612317,168397.5522293948,184030.57001155196,195746.12072915668,214005.87439619188,235323.32630463122,266028.2004832976,300487.02859964076,341470.61553221114,464133.8130290893,515281.5962508091,470479.35913245013,482667.2425185472
394484,80,"Colorado Springs, CO",msa,CO,213297.59857931826,213885.99479551424,204237.33367863685,205370.15015709875,215882.33072718725,224166.9708449806,237182.7612566397,256289.0829270015,279502.5218363261,306778.5668545388,327585.09507153614,355047.1807416398,416855.3378063417,474877.43646395765,462004.1556891412,466010.8703538336
394798,81,"Little Rock, AR",msa,AR,146154.2644417057,147676.3992928044,144057.67136659412,143685.49012615273,145118.65549447498,146861.01649556853,149749.23697263034,153435.79361339958,154538.76589886495,158221.28099323946,162359.46012794995,169747.70363525188,187538.47728582335,208376.24959970123,213485.1503686166,219853.22050785137
394766,82,"Lakeland, FL",msa,FL,130917.49066034674,113672.14312487363,97839.75188372022,98708.30555409145,110827.04079301505,125824.16005407601,136515.2930345544,148991.18109535114,163008.61430194814,178813.0653922587,193036.97835525198,207558.4804802339,243191.5378053505,306745.5155860391,314443.3560174257,315940.2172815837
394304,83,"Akron, OH",msa,OH,125469.52512046178,122909.42835221298,116723.54601525674,112362.90583915861,115383.04816068256,118600.55876865076,121891.38969052443,128029.77030454105,134176.69673574626,142291.68123484243,150380.38397522533,159868.80561632945,180768.4588521639,197196.98972766483,206914.30394271854,220397.37785386722
