FIPS,Year,Rent,Houseless_rate,Sheltered_rate,Unsheltered_rate,TOT_POP,TOT_MALE,TOT_FEMALE,TOT_WHITE,TOT_BLACK,TOT_NATIVE,TOT_ASIAN,TOT_PACIFIC,TOT_LATINX,FI Rate,Cost Per Meal,Num_wholesale,Num_restaraunts,Num_grocery,Total_workforce,Employed,Unemployed,Unemployment_rate,coc_number,State,County,State/County,Low Threshold Type,High Threshold Type,percent_male,percent_female,percent_white,percent_black,percent_native,percent_asian,percent_pacific,percent_latinx,percent_nonwhite,gender_ratio,prop_sheltered,prop_unsheltered,wholesale_per_capita,restaurants_per_capita,grocery_per_capita,grocery_to_restaurant_ratio,wholesale_to_restaurant_ratio,grocery_to_wholesale_ratio,employment_rate,unemployment_rate_calc,workforce_participation_rate,monthly_food_cost,food_to_rent_ratio,log_rent,log_cost_per_meal,log_total_workforce,majority_race,delta_FI_rate,delta_unemployment_rate,delta_rent,delta_cost_per_meal,STATE,FI_prev,Predicted FI Rate
02130,2023,,,,,,,,,,,,,,0.134,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.00000000000006,,,1.6863989535702288,,white,0.009,,,-0.5299999999999994,02,0.125,0.13298560601930098
02150,2023,,,,,,,,,,,,,,0.126,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.9,,,1.742219023667919,,white,0.0099999999999999,,,-0.4800000000000004,02,0.116,0.12508374480944073
02158,2023,,,,,,,,,,,,,,0.25,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.9,,,1.742219023667919,,white,-0.002,,,-0.4800000000000004,02,0.252,0.24088014234679267
02164,2023,,,,,,,,,,,,,,0.166,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.9,,,1.742219023667919,,white,0.014,,,-0.4800000000000004,02,0.152,0.16269660428455113
02170,2023,,,,,,,,,,,,,,0.133,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.9,,,1.724550719534605,,white,0.01,,,-0.4799999999999995,02,0.123,0.13179328740829133
02180,2023,,,,,,,,,,,,,,0.188,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.50000000000006,,,1.7316555451583495,,white,0.013,,,-0.5599999999999996,02,0.175,0.18333616848010015
02185,2023,,,,,,,,,,,,,,0.144,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.7,,,1.691939133945844,,white,0.0129999999999999,,,-0.5300000000000002,02,0.131,0.1424441346860864
02188,2023,,,,,,,,,,,,,,0.185,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.7,,,1.691939133945844,,white,0.009,,,-0.5300000000000002,02,0.176,0.18073059100186695
02195,2023,,,,,,,,,,,,,,0.133,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.49999999999994,,,1.713797927758343,,white,0.01,,,-0.5499999999999998,02,0.123,0.13185393899783981
02198,2023,,,,,,,,,,,,,,0.176,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.1,,,1.665818245870208,,white,0.0099999999999999,,,-0.5199999999999996,02,0.166,0.17253539833372666
02220,2023,,,,,,,,,,,,,,0.135,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.49999999999994,,,1.713797927758343,,white,0.024,,,-0.5499999999999998,02,0.111,0.13418900173920922
02230,2023,,,,,,,,,,,,,,0.152,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.0,,,1.7047480922384253,,white,0.0259999999999999,,,-0.5499999999999998,02,0.126,0.15025805052173424
02240,2023,,,,,,,,,,,,,,0.155,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.7,,,1.691939133945844,,white,0.006,,,-0.5300000000000002,02,0.149,0.15252094639553426
02275,2023,,,,,,,,,,,,,,0.163,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.1,,,1.7209792871670078,,white,0.015,,,-0.5600000000000005,02,0.148,0.16006600535455584
02282,2023,,,,,,,,,,,,,,0.14,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.0,,,1.7047480922384253,,white,0.006,,,-0.5499999999999998,02,0.134,0.138355128068249
02290,2023,,,,,,,,,,,,,,0.201,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.7,,,1.691939133945844,,white,0.006,,,-0.5300000000000002,02,0.195,0.1956242615360403
